Timestamp,TransactionID,AccountID,Amount,Merchant,TransactionType,Location,Hour,Day,DayOfWeek,Month,Weekend,BusinessHours,Avg_Amount,Std_Amount,Min_Amount,Max_Amount,Tx_Count,Amount_Ratio,Prev_Tx_Time,Time_Since_Last_Tx,Rapid_Succession,Common_Location,Location_Change,IsoForest_Score,IsoForest_Prediction,LOF_Score,LOF_Prediction,Ensemble_Prediction
2023-01-03 06:15:00,TXN1049,ACC14,978942.26,MerchantJ,Transfer,New York,6.0,3.0,1.0,1.0,0,0,50013.096792087425,29912.49144728763,14.25,978942.26,14458,19.573718141662415,2023-01-03 06:05:00,0.16666666666666666,1,London,1,0.0273247291214469,1,-12.94522337255431,-1,-1
2023-01-03 17:28:00,TXN827,ACC12,712076.97,MerchantA,Withdrawal,Tokyo,17.0,3.0,1.0,1.0,0,1,50272.45223840233,29320.279830588675,10.69,712076.97,14421,14.164357183595982,2023-01-03 17:24:00,0.06666666666666667,1,New York,1,0.025906224836769964,1,-9.587435462738231,-1,-1
2023-01-01 08:06:00,TXN832,ACC9,4654.58,MerchantC,Transfer,Tokyo,8.0,1.0,6.0,1.0,1,0,49952.37602257865,28931.241014385832,10.7,99978.95,14527,0.09318035237995713,,24.0,0,San Francisco,1,0.01724872587087989,1,-7.392655952792896,-1,-1
2023-01-01 08:17:00,TXN419,ACC1,60599.94,MerchantJ,Transfer,San Francisco,8.0,1.0,6.0,1.0,1,0,50428.5296484511,28969.640092054804,10.51,187344.37,14365,1.201699522521401,,24.0,0,San Francisco,0,-0.022583223238590522,-1,-7.390247550219681,-1,-1
2023-05-22 19:33:00,TXN393,ACC15,2273.78,MerchantH,Purchase,New York,19.0,22.0,0.0,5.0,0,0,50371.89460580913,28860.449456233724,27.51,99992.28,14701,0.04513985463111361,2023-05-22 18:39:00,0.9,1,New York,0,-0.010296660907578858,-1,-0.18659091656612303,-1,-1
2023-01-21 15:28:00,TXN281,ACC2,4451.9,MerchantF,Purchase,Los Angeles,15.0,21.0,5.0,1.0,1,0,50047.96155225727,28815.029112066997,13.09,191561.95,14553,0.08895267383371,2023-01-21 13:11:00,2.283333333333333,0,San Francisco,1,-0.0007332105134235656,-1,-0.17497080231295437,-1,-1
2023-02-04 08:02:00,TXN6,ACC6,21403.69,MerchantC,Purchase,New York,8.0,4.0,5.0,2.0,1,0,50038.08343297101,28804.031520284483,26.13,99998.69,14352,0.4277479977559795,2023-02-04 05:40:00,2.3666666666666667,0,Los Angeles,1,0.022839308520797297,1,-0.17449300999317852,-1,-1
2023-01-30 02:05:00,TXN1621,ACC14,24247.28,MerchantJ,Purchase,London,2.0,30.0,0.0,1.0,0,0,50013.096792087425,29912.49144728763,14.25,978942.26,14458,0.48481860862965326,2023-01-30 00:42:00,1.3833333333333333,0,London,0,-0.012070381336338087,-1,-0.1706927563778815,-1,-1
2023-05-27 21:45:00,TXN1668,ACC10,65414.27,MerchantJ,Withdrawal,Los Angeles,21.0,27.0,5.0,5.0,1,0,49729.92767581117,28797.732137369385,15.59,99986.15,14362,1.3153904109098022,2023-05-27 19:45:00,2.0,0,Los Angeles,0,-0.014615208591289286,-1,-0.16461391940462522,-1,-1
2023-05-01 06:14:00,TXN41,ACC14,93802.65,MerchantJ,Withdrawal,San Francisco,6.0,1.0,0.0,5.0,0,0,50013.096792087425,29912.49144728763,14.25,978942.26,14458,1.8755617231612924,2023-05-01 04:39:00,1.5833333333333333,0,London,1,-0.009525941232309654,-1,-0.15111760273159414,-1,-1
2023-01-29 05:54:00,TXN45,ACC5,9799.56,MerchantA,Withdrawal,Los Angeles,5.0,29.0,6.0,1.0,1,0,50194.70615584415,30071.156125134446,25.05,873004.79,14630,0.1952309466574901,2023-01-29 04:10:00,1.7333333333333334,0,San Francisco,1,-0.022183593137437563,-1,-0.14474911652063094,-1,-1
