Timestamp,TransactionID,AccountID,Amount,Merchant,TransactionType,Location,Hour,Day,DayOfWeek,Month,Weekend,BusinessHours,Avg_Amount,Std_Amount,Min_Amount,Max_Amount,Tx_Count,Amount_Ratio,Prev_Tx_Time,Time_Since_Last_Tx,Rapid_Succession,Common_Location,Location_Change,IsoForest_Score,IsoForest_Prediction,LOF_Score,LOF_Prediction,Ensemble_Prediction,IsoForest_Score_Norm,LOF_Score_Norm,Combined_Score
2023-01-03 06:15:00,TXN1049,ACC14,978942.26,MerchantJ,Transfer,New York,6.0,3.0,1.0,1.0,0,0,50013.096792087425,29912.49144728763,14.25,978942.26,14458,19.573718141662415,2023-01-03 06:05:00,0.16666666666666666,1,London,1,0.0273247291214469,1,-12.94522337255431,-1,-1,0.5539554095184154,0.0,0.5539554095184154
2023-01-01 08:17:00,TXN419,ACC1,60599.94,MerchantJ,Transfer,San Francisco,8.0,1.0,6.0,1.0,1,0,50428.5296484511,28969.640092054804,10.51,187344.37,14365,1.201699522521401,,24.0,0,San Francisco,0,-0.022583223238590522,-1,-7.390247550219681,-1,-1,0.2654895375549839,0.4257990126735719,0.6912885502285557
2023-01-03 17:28:00,TXN827,ACC12,712076.97,MerchantA,Withdrawal,Tokyo,17.0,3.0,1.0,1.0,0,1,50272.45223840233,29320.279830588675,10.69,712076.97,14421,14.164357183595982,2023-01-03 17:24:00,0.06666666666666667,1,New York,1,0.025906224836769964,1,-9.587435462738231,-1,-1,0.545756514231923,0.25738055798882936,0.8031370722207523
2023-01-01 08:06:00,TXN832,ACC9,4654.58,MerchantC,Transfer,Tokyo,8.0,1.0,6.0,1.0,1,0,49952.37602257865,28931.241014385832,10.7,99978.95,14527,0.09318035237995713,,24.0,0,San Francisco,1,0.01724872587087989,1,-7.392655952792896,-1,-1,0.495716533224453,0.4256144042305122,0.9213309374549652
1970-01-01 00:00:00,Unknown,Unknown,50183.979999999996,MerchantF,Transfer,San Francisco,0.0,0.0,0.0,0.0,0,0,50183.979999999996,0.0,50183.979999999996,50183.979999999996,481,1.0,1970-01-01 00:00:00,0.0,1,San Francisco,0,-0.06851600239959366,-1,0.06914433922552998,1,-1,0.0,0.9975749849290437,0.9975749849290437
1970-01-01 00:00:00,Unknown,Unknown,50183.979999999996,MerchantF,Transfer,San Francisco,0.0,0.0,0.0,0.0,0,0,50183.979999999996,0.0,50183.979999999996,50183.979999999996,481,1.0,1970-01-01 00:00:00,0.0,1,San Francisco,0,-0.06851600239959366,-1,0.06914433922552998,1,-1,0.0,0.9975749849290437,0.9975749849290437
1970-01-01 00:00:00,Unknown,Unknown,50183.979999999996,MerchantF,Transfer,San Francisco,0.0,0.0,0.0,0.0,0,0,50183.979999999996,0.0,50183.979999999996,50183.979999999996,481,1.0,1970-01-01 00:00:00,0.0,1,San Francisco,0,-0.06851600239959366,-1,0.06914433922552998,1,-1,0.0,0.9975749849290437,0.9975749849290437
1970-01-01 00:00:00,Unknown,Unknown,50183.979999999996,MerchantF,Transfer,San Francisco,0.0,0.0,0.0,0.0,0,0,50183.979999999996,0.0,50183.979999999996,50183.979999999996,481,1.0,1970-01-01 00:00:00,0.0,1,San Francisco,0,-0.06851600239959366,-1,0.06914433922552998,1,-1,0.0,0.9975749849290437,0.9975749849290437
1970-01-01 00:00:00,Unknown,Unknown,50183.979999999996,MerchantF,Transfer,San Francisco,0.0,0.0,0.0,0.0,0,0,50183.979999999996,0.0,50183.979999999996,50183.979999999996,481,1.0,1970-01-01 00:00:00,0.0,1,San Francisco,0,-0.06851600239959366,-1,0.06914433922552998,1,-1,0.0,0.9975749849290437,0.9975749849290437
1970-01-01 00:00:00,Unknown,Unknown,50183.979999999996,MerchantF,Transfer,San Francisco,0.0,0.0,0.0,0.0,0,0,50183.979999999996,0.0,50183.979999999996,50183.979999999996,481,1.0,1970-01-01 00:00:00,0.0,1,San Francisco,0,-0.06851600239959366,-1,0.06914433922552998,1,-1,0.0,0.9975749849290437,0.9975749849290437
